REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.925,0.088889,0.0,0.071457,0.096333
0.96,0.044444,244.999846,0.113451,0.059778
0.915,0.088889,0.0,0.03568,0.103906
0.96,0.022222,237.164758,0.131373,0.137788
0.94,0.133333,0.0,0.035599,0.120944
0.97,0.622222,107.054333,0.04069,0.458883
0.94,0.0,105.253715,0.080885,0.145862
0.955,0.244444,0.0,0.009182,0.453298
0.94,0.0,0.0,0.10154,0.087648
0.94,0.066667,72.433184,0.12853,0.066977
0.97,0.533333,122.111209,0.056027,0.494666
0.965,0.222222,130.559963,0.066934,0.184534
0.955,0.155556,120.328165,0.073701,0.141648
0.98,0.444444,279.828047,0.098997,0.170417
0.93,0.0,123.418151,0.072082,0.031719
0.93,0.0,0.0,0.066636,0.110517
0.96,0.044444,282.032237,0.13237,0.058426
0.935,0.111111,0.0,0.057926,0.121902
0.965,0.377778,122.432732,0.09396,0.191963
0.955,0.0,170.182683,0.125549,0.154829
0.975,0.622222,106.291103,0.058298,0.298135
0.97,0.222222,293.765151,0.095847,0.191083
0.915,0.0,0.0,0.079826,0.084516
0.925,0.088889,0.0,0.050764,0.097638
0.965,0.133333,266.214494,0.183049,0.271817
0.96,0.066667,236.26001,0.10298,0.063012
0.96,0.044444,218.492546,0.155178,0.138533
0.9,0.0,0.0,0.026252,0.11361
0.97,0.377778,217.338365,0.141624,0.149644
0.935,0.377778,0.0,0.019837,0.334208
0.97,0.355556,123.418151,0.069598,0.239561
0.96,0.0,208.451367,0.243851,0.148232
0.955,0.4,0.0,0.001483,0.510866
0.955,0.066667,208.335701,0.063193,0.433772
0.97,0.222222,293.383345,0.100409,0.14378
0.98,0.622222,117.535499,0.106337,0.180028
0.95,0.0,209.599195,0.072403,0.148626
0.96,0.044444,234.248861,0.13498,0.152154
0.95,0.177778,0.0,0.02729,0.130785
0.945,0.022222,31.414704,0.104866,0.145308
0.92,0.044444,0.0,0.058082,0.109835
0.96,0.177778,148.250198,0.085657,0.13555
0.98,0.444444,197.73888,0.096247,0.199747
0.945,0.044444,124.662807,0.120681,0.027087
0.94,0.377778,0.0,0.0224,0.418298
0.97,0.2,290.340471,0.107928,0.177772
0.945,0.044444,136.544986,0.078458,0.127884
0.97,0.488889,67.15073,0.060385,0.468797
0.965,0.022222,223.188879,0.240918,0.147131
0.935,0.288889,0.0,0.019781,0.311222
0.935,0.022222,45.12337,0.078871,0.122237
0.945,0.0,115.347547,0.090175,0.122949
0.975,0.288889,221.087945,0.090948,0.138031
0.975,0.422222,182.488427,0.174536,0.240777
0.965,0.422222,98.708063,0.04769,0.506872
0.93,0.022222,117.535499,0.100521,0.027596
0.965,0.288889,132.791836,0.080419,0.177501
0.965,0.155556,196.843578,0.083825,0.373783
0.97,0.244444,279.828047,0.097828,0.144778
0.97,0.133333,266.214494,0.20022,0.166909
0.945,0.022222,130.032444,0.056738,0.673822
0.96,0.6,12.286611,0.096554,0.220712
0.96,0.022222,219.741559,0.126123,0.155225
0.935,0.133333,0.0,0.008722,0.501347
0.96,0.0,231.993633,0.151473,0.090711
0.95,0.111111,122.432732,0.076132,0.060116
0.96,0.466667,0.0,0.088374,0.511279
0.98,0.533333,125.479636,0.10906,0.176363
0.97,0.288889,188.45447,0.108184,0.284795
0.935,0.0,117.535499,0.147951,0.017942
0.97,0.177778,286.612664,0.109048,0.185859
0.97,0.155556,297.707927,0.112796,0.182598
0.915,0.0,0.0,0.05843,0.109276
0.915,0.088889,0.0,0.027762,0.119285
0.955,0.088889,0.0,0.070291,0.1472
0.97,0.377778,139.718749,0.077069,0.270247
0.975,0.422222,132.32274,0.073753,0.316217
0.97,0.111111,293.840737,0.311285,0.38263
0.93,0.0,0.0,0.094099,0.070524
0.955,0.111111,84.028082,0.051136,0.398201
0.97,0.133333,297.707927,0.284919,0.345357
0.93,0.377778,0.0,0.019837,0.352837
0.96,0.044444,246.804143,0.084216,0.300299
