Watertown,Dryville,Fallsland,Regional
0.83,0.81,0.54,0.54
0.665,0.6,0.565,0.565
0.54,0.37,0.37,0.365
0.74,0.6,0.595,0.595
0.56,0.43,0.495,0.43
0.685,0.7,0.68,0.645
0.63,0.535,0.58,0.535
0.61,0.5,0.53,0.5
0.78,0.905,0.71,0.705
0.755,0.715,0.715,0.685
0.695,0.6,0.595,0.595
0.69,0.905,0.61,0.605
0.755,0.9,0.695,0.685
0.765,0.905,0.7,0.695
0.715,0.92,0.7,0.67
0.75,0.685,0.655,0.635
0.68,0.5,0.58,0.5
0.685,0.945,0.72,0.66
0.78,0.91,0.645,0.64
0.67,0.685,0.63,0.62
0.69,0.685,0.63,0.62
0.805,0.78,0.6,0.6
0.745,0.89,0.695,0.675
0.66,0.7,0.66,0.63
0.61,0.735,0.67,0.61
0.705,0.715,0.58,0.58
0.76,0.91,0.755,0.745
0.675,0.745,0.665,0.64
0.82,0.915,0.75,0.75
0.655,0.74,0.675,0.635
0.765,0.895,0.755,0.745
0.71,0.76,0.69,0.66
0.53,0.535,0.37,0.37
0.675,0.785,0.68,0.645
0.66,0.66,0.605,0.605
0.665,0.785,0.675,0.64
0.715,0.975,0.69,0.67
0.61,0.535,0.37,0.37
0.8,0.83,0.62,0.62
0.66,0.945,0.725,0.645
0.8,0.76,0.49,0.49
0.8,0.89,0.675,0.67
0.72,0.75,0.665,0.66
0.785,0.94,0.745,0.74
0.715,0.76,0.71,0.67
0.71,0.795,0.545,0.545
0.755,0.81,0.71,0.7
0.53,0.6,0.53,0.51
0.675,0.91,0.61,0.605
0.635,0.735,0.67,0.63
0.665,0.755,0.69,0.645
0.7,0.915,0.725,0.685
0.815,0.925,0.735,0.73
0.76,0.88,0.74,0.73
0.625,0.7,0.66,0.62
0.82,0.57,0.545,0.545
0.61,0.76,0.675,0.61
0.705,0.545,0.56,0.545
0.75,0.95,0.76,0.745
0.64,0.595,0.545,0.545
0.71,0.95,0.735,0.68
0.75,0.87,0.605,0.605
0.535,0.62,0.37,0.37
0.675,0.875,0.745,0.665
0.76,0.88,0.745,0.735
0.705,0.735,0.705,0.665
0.72,0.81,0.72,0.685
0.69,0.75,0.675,0.645
0.765,0.93,0.65,0.635
0.615,0.69,0.495,0.495
0.745,0.94,0.71,0.695
0.62,0.755,0.6,0.595
0.68,0.935,0.655,0.625
0.685,0.94,0.71,0.645
0.7,0.615,0.42,0.42
0.76,0.915,0.76,0.75
0.625,0.76,0.665,0.62
0.805,0.75,0.685,0.68
0.675,0.785,0.68,0.645
0.65,0.9,0.6,0.6
0.75,0.37,0.52,0.37
0.625,0.545,0.53,0.53
0.82,0.89,0.665,0.665
0.655,0.915,0.595,0.595
0.82,0.93,0.68,0.68
0.765,0.91,0.605,0.605
0.7,0.91,0.725,0.685
0.66,0.8,0.685,0.635
0.555,0.5,0.545,0.5
0.76,0.9,0.76,0.75
0.64,0.745,0.69,0.63
0.76,0.905,0.755,0.745
0.7,0.945,0.72,0.66
0.61,0.5,0.495,0.495
0.7,0.57,0.37,0.37
0.815,0.68,0.595,0.595
0.77,0.89,0.7,0.695
0.685,0.93,0.665,0.635
0.69,0.93,0.665,0.635
0.69,0.73,0.66,0.635
0.705,0.74,0.665,0.64
0.685,0.835,0.71,0.655
0.665,0.615,0.545,0.545
0.66,0.43,0.53,0.43
0.775,0.91,0.56,0.56
0.65,0.765,0.66,0.63
0.7,0.815,0.72,0.665
0.785,0.91,0.62,0.615
0.61,0.76,0.68,0.61
0.81,0.91,0.75,0.75
0.675,0.525,0.595,0.525
0.76,0.885,0.745,0.735
0.53,0.5,0.545,0.495
0.685,0.43,0.545,0.43
0.6,0.5,0.495,0.495
0.72,0.535,0.545,0.535
0.625,0.545,0.53,0.53
0.815,0.91,0.745,0.745
0.685,0.765,0.555,0.555
0.645,0.595,0.545,0.545
0.675,0.92,0.71,0.65
0.67,0.735,0.67,0.64
0.66,0.685,0.615,0.61
0.61,0.69,0.495,0.495
0.63,0.37,0.53,0.37
0.65,0.705,0.675,0.635
0.63,0.535,0.545,0.535
0.61,0.7,0.67,0.61
0.69,0.745,0.68,0.64
0.675,0.37,0.53,0.37
0.74,0.845,0.69,0.68
0.735,0.77,0.69,0.685
0.66,0.755,0.67,0.635
0.82,0.915,0.75,0.75
0.64,0.535,0.37,0.37
0.7,0.96,0.725,0.665
0.63,0.7,0.66,0.62
0.72,0.5,0.565,0.5
0.7,0.82,0.68,0.665
0.67,0.645,0.635,0.625
0.69,0.75,0.68,0.64
0.73,0.755,0.585,0.585
0.66,0.785,0.675,0.635
0.775,0.835,0.685,0.675
0.62,0.74,0.675,0.62
0.67,0.96,0.72,0.645
0.625,0.735,0.67,0.625
0.725,0.92,0.72,0.685
0.635,0.43,0.495,0.43
0.805,0.95,0.74,0.735
0.825,0.855,0.75,0.75
0.71,0.81,0.69,0.66
0.635,0.535,0.53,0.53
0.61,0.505,0.42,0.42
0.765,0.685,0.71,0.675
0.615,0.575,0.37,0.37
0.705,0.6,0.595,0.595
0.675,0.75,0.67,0.64
0.745,0.945,0.685,0.66
0.745,0.94,0.685,0.66
0.65,0.735,0.67,0.635
0.825,0.905,0.75,0.75
0.695,0.595,0.495,0.495
0.64,0.6,0.58,0.58
0.805,0.915,0.715,0.715
0.785,0.88,0.69,0.685
0.63,0.37,0.53,0.37
0.61,0.37,0.42,0.37
0.61,0.595,0.58,0.57
0.7,0.54,0.37,0.37
0.745,0.91,0.715,0.695
0.79,0.925,0.72,0.715
0.645,0.675,0.49,0.49
0.69,0.77,0.71,0.66
0.735,0.885,0.7,0.685
0.815,0.735,0.665,0.665
0.645,0.885,0.675,0.63
0.815,0.685,0.67,0.67
0.7,0.78,0.585,0.585
0.675,0.925,0.675,0.645
0.705,0.6,0.58,0.58
0.8,0.89,0.68,0.68
0.7,0.95,0.72,0.67
0.75,0.855,0.71,0.695
0.685,0.705,0.49,0.49
0.63,0.43,0.495,0.43
0.61,0.43,0.37,0.37
0.66,0.37,0.52,0.37
0.645,0.745,0.6,0.6
0.69,0.37,0.53,0.37
0.82,0.77,0.7,0.7
0.715,0.675,0.49,0.49
0.685,0.705,0.49,0.49
0.8,0.94,0.735,0.73
0.54,0.43,0.53,0.43
0.63,0.37,0.52,0.37
0.685,0.76,0.675,0.645
0.655,0.75,0.595,0.595
0.6,0.6,0.495,0.495
0.72,0.715,0.665,0.64
0.63,0.7,0.66,0.62
0.615,0.6,0.53,0.53
0.695,0.745,0.68,0.645
0.7,0.85,0.685,0.655
0.735,0.53,0.61,0.53
0.76,0.71,0.61,0.605
0.81,0.775,0.605,0.605
0.815,0.68,0.6,0.6
0.705,0.6,0.58,0.58
0.8,0.935,0.745,0.74
0.745,0.97,0.72,0.705
0.83,0.91,0.54,0.54
0.66,0.37,0.525,0.37
0.65,0.565,0.595,0.565
0.76,0.37,0.495,0.37
0.705,0.68,0.42,0.42
0.61,0.37,0.53,0.37
0.66,0.37,0.53,0.37
0.79,0.945,0.71,0.705
0.755,0.895,0.7,0.69
0.54,0.6,0.545,0.525
0.68,0.89,0.39,0.39
0.755,0.78,0.59,0.59
0.715,0.84,0.54,0.54
0.725,0.725,0.66,0.645
0.655,0.725,0.675,0.635
0.8,0.905,0.61,0.61
0.66,0.7,0.71,0.64
0.785,0.715,0.645,0.64
0.69,0.52,0.49,0.475
0.705,0.805,0.675,0.67
0.64,0.37,0.53,0.37
0.69,0.775,0.685,0.655
0.82,0.64,0.545,0.545
0.825,0.925,0.54,0.54
0.54,0.37,0.53,0.37
0.82,0.78,0.685,0.685
0.66,0.5,0.495,0.495
0.54,0.675,0.52,0.51
0.81,0.5,0.6,0.5
0.64,0.535,0.595,0.535
0.695,0.74,0.71,0.66
0.745,0.905,0.705,0.69
0.715,0.615,0.42,0.42
0.705,0.675,0.615,0.61
0.695,0.815,0.685,0.65
0.715,0.615,0.545,0.545
0.73,0.745,0.715,0.69
0.66,0.505,0.495,0.495
0.76,0.925,0.645,0.635
0.7,0.6,0.545,0.545
0.69,0.935,0.665,0.635
0.69,0.915,0.585,0.58
0.655,0.37,0.53,0.37
0.635,0.37,0.53,0.37
0.705,0.6,0.58,0.58
0.61,0.535,0.545,0.535
0.68,0.915,0.71,0.65
0.53,0.545,0.595,0.52
0.64,0.565,0.545,0.545
0.815,0.68,0.605,0.6
0.78,0.915,0.685,0.685
0.7,0.6,0.545,0.545
0.685,0.6,0.565,0.565
0.685,0.6,0.6,0.6
0.655,0.545,0.53,0.53
0.695,0.6,0.595,0.595
0.56,0.37,0.495,0.37
0.745,0.915,0.655,0.635
0.635,0.505,0.37,0.37
0.685,0.88,0.7,0.645
0.52,0.735,0.53,0.505
0.655,0.7,0.66,0.63
0.825,0.91,0.7,0.7
0.625,0.7,0.66,0.62
0.53,0.37,0.37,0.365
0.79,0.905,0.725,0.725
0.81,0.47,0.635,0.47
0.685,0.47,0.6,0.47
